Release_liftover_manifest	submitted_diagnosis	diagnosis	comments
Release 47 liftover	"Low grade mixed glial-neuronal tumor, morphology is consistent with/ aligns with/ favors ganglioglioma"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low grade myofibroblastic sarcoma	Myofibroblastic sarcoma	
Release 47 liftover	Low grade neoplasm with multinucleated giant cells	"Neoplasm, NOS"	
Release 47 liftover	"Low grade neoplasm, favor pilocytic astrocytoma"	"Neoplasm, NOS"	
Release 47 liftover	Low grade neoplasm. Features suggestive of pilocytic astrocytoma.	"Neoplasm, NOS"	
Release 47 liftover	Low grade neuroendocrine tumor	"Neuroendocrine tumor, NOS"	
Release 47 liftover	Low grade neuroepithelial neoplasm (WHO grade 1)	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low grade neuroepithelial neoplasm with QKI::NTRK2 gene fusion	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low grade neuroepithelial tumor	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low grade neuroepithelial tumor (preliminary path report)	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low grade neuroepithelial tumor consistent with polymorphous low grade neuro-epithelial tumor of the young	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low grade neuro-epithelial tumor favor low grade glioma	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low grade neuroepithelial tumor with diffuse growth pattern	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Low grade neuroepithelial tumor with MYB::QKI fusion, most compatible with WHO grade 1 designation"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low grade neuroglial neoplasm with features of a dysembryoplastic neuroepithelial tumor	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	low grade neuroglial tumor	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low grade neuronal glial neoplasm	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low grade pediatric tumor consistent with Dysembryoplastic neuroepithelial tumor (DNET)	"Neoplasm, NOS"	
Release 47 liftover	Low grade primary CNS neoplasm	"Neoplasm, NOS"	
Release 47 liftover	Low grade spindle call neoplasm with areas demonstrating basaloid morphology	"Neoplasm, NOS"	
Release 47 liftover	Low grade spindle cell	Unknown	
Release 47 liftover	Low grade spindle cell lesion	Unknown	
Release 47 liftover	Low grade spindle cell neoplasm	"Neoplasm, NOS"	
Release 47 liftover	"Low grade spindle cell tumor, favor mesenchymal. DIfferential chiefly include STF, meningiom, schwannoma and other rare mesenchymal tumor"	"Neoplasm, NOS"	
Release 47 liftover	"Low grade-appearing glioma, morphologically aligns best with pilocytic astrocytoma"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low-cellularity glioma	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Lower grade glioma, morphologically aligns with a piloid/pilocytic astrocytoma"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	low-grade	Unknown	
Release 47 liftover	Low-grade appendiceal mucinous neoplasm	"Neoplasm, NOS"	
Release 47 liftover	Low-grade astrocytic glioma	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	"Low-grade astrocytic glioma, favor pilocytic astrocytoma"	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	Low-grade astrocytoma	"Astrocytoma, NOS"	
Release 47 liftover	"Low-grade astrocytoma, morphologically consistent with pilocytic astrocytoma"	"Astrocytoma, NOS"	
Release 47 liftover	"Low-grade circumscribed astrocytic glioma, BRAF-V600E mutant"	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	Low-grade circumscribed glial/glioneuronal tumor	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low-grade compact glioma	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	Low-grade fibroblastic/myofibroblastic neoplasm consistent with desmoid fibromatosis	"Myofibroblastic tumor, NOS"	
Release 47 liftover	Low-grade glial glioneuronal tumor focally-positive for BRAF-V600E immunostain	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low-grade glial neoplasm	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low-grade glial neoplasm with BRAF V600E mutation	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Low-grade glial neoplasm, consistent with pilocytic astrocytoma"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"low-grade glial neoplasm, differential diagnosis includes pilocytic astrocytoma"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Low-grade glial neoplasm, favor pilocytic astrocytoma"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Low-grade glial neoplasm, favor pilomyxoid/pilocytic actrocytoma"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Low-grade glial neoplasm, with features most consistent with a pilocytic astrocytoma."	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low-grade glial neoplasm; favor pilocytic astrocytoma	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low-grade glial neuronal tumor such as a DNET	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Low-grade glial -neuronal tumor, favor ganglioglioma"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low-grade glial or glioneural neoplasm	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low-grade glial or glioneuronal neoplasm	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low-grade glial or glioneuronal neoplasm with FAM131B BRAF fusion	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Low-grade glial or glioneuronal tumor, CNS WHO grade 1"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low-grade glial tumor	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low-grade glial versus glioneuronal tumor	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"low-grade glial versus glioneuronal tumor, favor pilocytic astrocytoma, CNS WHO Grade 1"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Low-grade glial versus glioneuronal tumor; favor ganglioglioma, CNS WHO grade 1"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low-grade glial vs. glioneuronal tumor	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low-grade glial vs. glioneuronal tumor; favor pilocytic astrocytoma	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Low-grade glial/ glial neuronal tumor, histologic CNS WHO grade 1"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low-grade glial/ glioneuronal tumor	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low-grade glial/glioneuronal neoplasm	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Low-grade glial/glioneuronal neoplasm with molecular features of rosette-forming glioneuronal tumor, CNS WHO grade 1"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Low-grade glial/glioneuronal neoplasm, oligodendroglioma-like morphology"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low-grade glial/glioneuronal tumor	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low-grade glial/glioneuronal tumor with adjacent cortical dysplastic changes.	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low-grade glial-glioneuronal tumor	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low-grade glial-neuronal tumor	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low-grade glial-neuronal tumor consistent with dysembryoplastic neuroepithelial tumor WHO grade 1	"Glioneuronal and Neuronal Tumors, NOS"	
Release 47 liftover	Low-grade glial-neuronal tumor morphologically consistent with dysembryoplastic neuroepithelial tumor	"Glioneuronal and Neuronal Tumors, NOS"	
Release 47 liftover	Low-grade Glioma	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	Low-grade glioma consistent with pilocytic astrocytoma	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	"Low-grade glioma histologically, favor pilocytic astrocytoma"	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	"Low-grade glioma most consistent with pilocytic astrocytoma, WHO grade 1"	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	"Low-grade glioma or glioneuronal tumor, favour PFB ependymoma"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low-grade glioma with features consistent with pilocytic astrocytoma (WHO GRADE I)	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	Low-grade glioma with KIAA1549 BRAF fusion	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	Low-grade glioma with piloid features.	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	"Low-grade glioma, a pilocytic astrocytoma is favored"	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	"Low-grade glioma, BRAF V600E expressing"	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	"Low-grade glioma, compatible with pilocytic astrocytoma"	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	"Low-grade glioma, consistent with pilocytic astrocytoma (CNS WHO grade 1)"	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	"Low-grade glioma, favor pilocytic astrocytoma"	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	"Low-grade glioma, favor Pilocytic astrocytoma, CNS WHO grade 1"	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	"Low-grade glioma, favor pilocytic astrocytoma, CNS WHO grade I"	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	"Low-grade glioma, favor pilomyxoid astrocytoma"	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	"Low-grade glioma, favored to represent a pilocytic astrocytoma"	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	"Low-grade glioma, most consistent with pilocytic astrocytoma"	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	"Low-grade glioma, with histologic features of pilocytic astrocytoma, WHO grade 1"	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	Low-grade glioma. Probably pilocytic.	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	Low-grade glioma/glioneuronal tumor	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low-grade glioma; favor pilocytic astrocytoma	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	Low-grade glioma-pilocytic astrocytoma	Pilocytic astrocytoma	
Release 47 liftover	Low-grade glioneuronal neoplasm	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low-grade glioneuronal process	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low-grade glioneuronal tumor	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low-grade glioneuronal tumor with BRAF V600 mutation	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Low-grade glioneuronal tumor, favor Dysembryoplastic neuroepithelial tumor"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Low-grade glioneuronal tumor, morphologically consistent with ganglioglioma"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Low-grade Glioneuronal tumor, NOS"	"Glioneuronal and Neuronal Tumors, NOS"	
Release 47 liftover	"Low-grade Glioneuronal tumor, WHO Grade 1"	"Glioneuronal and Neuronal Tumors, NOS"	
Release 47 liftover	"Low-grade glioneuronal, neuronal tumor"	"Glioneuronal and Neuronal Tumors, NOS"	
Release 47 liftover	Low-grade glioneuronal. Favor DNET or ganglioglioma.	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low-grade IDH-mutant glioma	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	Low-grade infiltrating glial neoplasm	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Low-grade mesenchymal neoplasm, favor inflammatory myofibroblastic tumor"	"Mesenchymal Tumor, NOS"	
Release 47 liftover	"Low-grade neoplasm, favor pilocytic astrocytoma"	"Neoplasm, NOS"	
Release 47 liftover	Low-grade neuroepithelial neoplasm	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low-grade neuroepithelial tumor	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low-grade neuroepithelial tumor (WHO Grade 1)	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low-grade neuroepithelial tumor favor ganglioglioma	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low-grade neuroepithelial tumor with FGFR1 pV559M and FGFR1 p.N554K mutations	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low-grade non-intestinal-type sinonasal adenocarinoma	Adenocarcinoma	
Release 47 liftover	Low-grade papillary glial neoplasm	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Low-grade papillary urothelial carcinoma	"Papillary carcinoma, NOS"	
Release 47 liftover	Low-grade piloid glioma	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	Low-grade sarcoma	"Sarcoma, NOS"	
Release 47 liftover	"Low-grade spindle cell mesenchymal neoplasm, likely representing a cellular myofibroma"	"Mesenchymal Tumor, NOS"	
Release 47 liftover	Low-grade spindle cell neoplasm	"Neoplasm, NOS"	
Release 47 liftover	Low-grade tumor	"Neoplasm, NOS"	
Release 47 liftover	"Low-grade, infiltrating glioma (NOS), IDH-1 (R132H) wild type"	"Low-grade glioma, NOS or NEC"	
Release 47 liftover	Lymph node with metastatic melanoma	Melanoma	
Release 47 liftover	Malignancy with rhabdomyosarcomatous features	"Neoplasm, malignant"	
Release 47 liftover	Malignant blue cell tumor	"Neoplasm, malignant"	
Release 47 liftover	Malignant Brain Neoplasm	"Brain Tumor, NOS"	
Release 47 liftover	"Malignant cells showing neural features, consistent with metastatic malignant melanoma"	"Neoplasm, malignant"	
Release 47 liftover	Malignant diffuse glioma	"Glioma, malignant"	
Release 47 liftover	Malignant embryonal neoplasm	"Embryonal Tumors, NOS"	
Release 47 liftover	Malignant embryonal tumor	"Embryonal Tumors, NOS"	
Release 47 liftover	Malignant embryonal tumor most consistent with medulloblastoma	"Embryonal Tumors, NOS"	
Release 47 liftover	"Malignant embryonal tumor, favor medulloblastoma"	"Embryonal Tumors, NOS"	
Release 47 liftover	Malignant epitheliod neoplasm with pancreatic acinar differentiation	"Epithelioid Neoplasm, NOS"	
Release 47 liftover	Malignant epithelioid and myxoid neoplasm	"Epithelioid Neoplasm, NOS"	
Release 47 liftover	Malignant epithelioid neoplasm with EWSR1::KLF5 fusion	"Epithelioid Neoplasm, NOS"	
Release 47 liftover	Malignant epithelioid tumor with features suggestive of myoepithelial carcinoma	"Epithelioid Neoplasm, NOS"	
Release 47 liftover	Malignant gastrointestinal neuroectodermal tumor	"Neoplasm, NOS"	
Release 47 liftover	Malignant glial neoplasm	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Malignant glioma	"Glioma, malignant"	
Release 47 liftover	Malignant high grade spindle cell sarcoma	"Malignant tumor, spindle cell type"	
Release 47 liftover	Malignant histiocytoid tumor	"Neoplasm, malignant"	
Release 47 liftover	Malignant melanoma	Melanoma	
Release 47 liftover	"Malignant melanoma, nodular variant, Spitz-like, polypoid"	Melanoma	
Release 47 liftover	"Malignant melanoma, spitzoid type"	Melanoma	
Release 47 liftover	Malignant mixed germ cell tumor consisting of germinoma (approximately 5%) and immature teratoma (95%)	Mixed germ cell tumor	
Release 47 liftover	"Malignant mural nodule comprised of anaplastic carcinoma, arising in mucinous cystadenoma"	"Carcinoma, anaplastic, NOS"	
Release 47 liftover	Malignant myoepithelial of pediatric type	"Myoepithelioma, NOS"	
Release 47 liftover	Malignant neoplasia	"Neoplasm, malignant"	
Release 47 liftover	Malignant neoplasm	"Neoplasm, malignant"	
Release 47 liftover	"Malignant neoplasm consistent with rhabdomyosarcoma, embryonal subtype"	"Neoplasm, malignant"	
Release 47 liftover	Malignant neoplasm consistent with spindle cell/sclerosing Rhabdomyosarcoma	"Neoplasm, malignant"	
Release 47 liftover	Malignant neoplasm most consistent with embryonal tumor	"Neoplasm, malignant"	
